video_id,views,collects,diggs,comments,shares
7526089595210009878,9000000,105400,1300000,5662,26000
7525374920298188054,6800000,9811,293300,1445,1056
7524292924507426078,176300000,229600,2200000,17000,810600
7525497634895711510,7500000,59900,763000,3681,273600
7523246058491907350,4400000,6013,153400,514,2083
7524415474935893270,18300000,71400,1500000,7042,435000
7525378106174016824,53200000,316400,7300000,22000,1500000
7524693906202660118,3300000,13500,343000,555,12300
7526937258897739030,2700000,13400,143800,998,41100
7526210308453551382,3400000,17200,339800,3216,35200
7524775660254989590,3200000,6249,247300,893,3695
7525995841090276630,22500000,176300,2500000,10200,943300
7525159743791402262,2100000,3886,118800,1008,569
7525422467616378135,2700000,9305,247000,398,22500
7526263941396483350,1900000,8676,209500,1043,12400
7525382852557475094,1900000,11300,156900,1100,23200
7524836677697817878,2900000,26100,319500,6778,18800
7525771619768306966,1700000,2864,93900,206,758
7525881242726812950,24100000,35300,408500,5082,25900
7525500481419021591,13800000,14900,675300,1399,7977
7526281674116599062,2100000,6514,250800,4499,4113
7526946789207903510,2200000,6116,222900,888,16800
7525144376725589270,2200000,3114,201500,445,1489
7526246537375190278,58900000,27600,1200000,6640,12200
7526165377357761814,2300000,2659,94100,219,4936
7526202804948536598,61000000,252400,6200000,13500,1900000
7526917913836571926,458400,1777,43500,236,110
7513888764238875926,325700,2486,25300,215,467
7527362826055208214,989000,7267,82300,1294,4772
7526595912664239382,615800,1492,56400,192,344
7526906757705157910,212700,516,17200,40,130
7514433175075015958,1300000,8225,117500,635,5243
7526910684752268566,481700,2251,31800,540,630
7517674448158264598,62200,592,8005,158,88
7526780535591423254,121700,2033,16000,152,601
7526943912662027542,3300000,9041,302800,3619,15000
7526670715777551638,3100000,4435,56700,1210,2271
7526135440949218582,1500000,3219,332100,639,3188
7525502735421164822,1900000,3860,116600,432,837
7525050398047030550,3600000,13400,387700,1670,6259
7525875310387023126,3400000,5084,87200,1119,14200
7525793072060337410,1900000,8820,198500,4842,1899
7526231835630636310,20100000,14500,215600,1777,20400
7524290275536063766,7300000,10200,135800,290,9881
7526234388783303958,6300000,5866,130500,398,4124
7525233806333316374,2000000,5239,207800,173,4446
7525406297777261846,1900000,5182,93000,372,633
7525052521291910422,8500000,6371,246800,466,1771
7524784757763312918,2400000,12500,292200,2689,51900
7525871918826753302,1600000,2964,103700,4389,1350
7525969031724027158,2000000,14200,325800,3300,17600
7525214372327705878,1400000,1698,35100,115,3686
7526510817370524950,11200000,16900,435300,4250,12100
7525137586877173014,1600000,12100,393000,1528,5018
7525120138346122518,1700000,4704,155900,2370,1768
7525589366220000534,37600000,312800,3300000,16200,786900
7525173379477867798,1400000,5243,127600,744,1025
7526615233520061718,3400000,3540,126400,2519,2075
7526494678363950369,3700000,7160,218000,1853,3273
7525530334570482966,94500000,490800,11500000,99400,515400
7524589178399558934,1300000,4262,177900,959,41100
7525499368191855894,2600000,2572,61400,808,3211
7525116360251182358,1100000,836,43200,444,426
7526086824318553366,1500000,2012,11300,977,2237
7523870811963493634,4800000,10600,357300,1674,2805
7525036627371101462,2000000,2991,141700,458,1642
7526536592266235158,15800000,72100,1800000,2145,35100
7526973477438459158,2200000,15000,294900,442,14200
7524729889195347222,2800000,5554,150700,1328,5258
7525573634211990817,46200000,139000,1500000,30600,407900
7526558288289303831,27400000,186700,2800000,23500,1400000
7525114524895137037,72700000,298300,8600000,43400,2700000
7525420247810051350,1900000,14500,206500,1264,4926
7525846202538265878,1200000,6828,85300,656,13000
7526590499357052182,1400000,1546,69500,386,300
7524681313882836246,2300000,2052,106100,428,1001
7525118386003627286,3500000,6001,220400,2778,11300
7525877803401907458,3600000,15400,375900,2336,51800
